pair_id,window_id,start_frame,end_frame,start_time,end_time,vehicle_count,avg_speed,stop_proxy,congestion_score,label,label_id
785,0,0,148,0.0,5.0,27,22.9488,0.1817,0.2498,low,0
785,1,149,298,5.0,10.0,28,24.7185,0.2275,0.2797,low,0
785,2,299,448,10.0,15.0,23,21.9634,0.318,0.2107,low,0
785,3,449,598,15.0,20.0,22,17.8429,0.4557,0.3041,low,0
785,4,599,748,20.0,25.0,21,14.1996,0.4747,0.3638,medium,1
785,5,749,898,25.0,30.0,23,11.5893,0.4431,0.4538,medium,1
785,6,899,1047,30.0,35.0,21,6.8982,0.473,0.5169,medium,1
785,7,1048,1197,35.0,40.0,27,8.7807,0.5426,0.6156,medium,1
785,8,1198,1347,40.0,45.0,30,5.7552,0.599,0.7526,high,2
785,9,1348,1497,45.0,50.0,32,8.0515,0.6127,0.7486,high,2
785,10,1498,1647,50.0,55.0,40,10.3346,0.578,0.7765,high,2
785,11,1648,1797,55.0,60.0,36,9.3137,0.5737,0.7971,high,2
785,12,1798,1947,60.0,65.0,34,6.6344,0.7114,0.8395,high,2
785,13,1948,2096,65.0,70.0,29,4.965,0.7967,0.788,high,2
785,14,2097,2246,70.0,75.0,26,2.7202,0.8759,0.7679,high,2
785,15,2247,2396,75.0,80.0,25,2.2318,0.8818,0.7484,high,2
785,16,2397,2546,80.0,85.0,29,2.4742,0.781,0.8111,high,2
785,17,2547,2696,85.0,90.0,30,4.9061,0.7035,0.7914,high,2
785,18,2697,2846,90.0,95.0,34,4.2545,0.675,0.8823,high,2
785,19,2847,2996,95.0,100.0,31,11.6671,0.382,0.6057,medium,1
785,20,2997,3145,100.0,105.0,36,22.7287,0.2709,0.4546,medium,1
785,21,3146,3295,105.0,110.0,35,23.4864,0.3605,0.4514,medium,1
785,22,3296,3445,110.0,115.0,28,20.9438,0.3892,0.35,medium,1
785,23,3446,3595,115.0,120.0,24,18.9657,0.3804,0.3069,low,0
785,24,3596,3745,120.0,125.0,23,17.2158,0.4464,0.3362,medium,1
785,25,3746,3895,125.0,130.0,19,8.9029,0.4823,0.4352,medium,1
785,26,3896,4044,130.0,135.0,19,7.0449,0.5537,0.4885,medium,1
785,27,4045,4194,135.0,140.0,20,10.6872,0.5605,0.434,medium,1
785,28,4195,4344,140.0,145.0,20,11.0892,0.5932,0.4321,medium,1
785,29,4345,4494,145.0,150.0,20,6.4931,0.6271,0.5355,medium,1
785,30,4495,4644,150.0,155.0,25,14.208,0.4058,0.4327,medium,1
785,31,4645,4794,155.0,160.0,33,17.5563,0.4246,0.5319,medium,1
785,32,4795,4944,160.0,165.0,34,16.7972,0.4274,0.5691,medium,1
785,33,4945,5093,165.0,170.0,34,12.6751,0.4424,0.6588,medium,1
785,34,5094,5243,170.0,175.0,36,10.638,0.6283,0.7802,high,2
785,35,5244,5393,175.0,180.0,32,7.4069,0.6874,0.777,high,2
785,36,5394,5543,180.0,185.0,31,6.8678,0.6489,0.7599,high,2
785,37,5544,5693,185.0,190.0,27,8.6129,0.5011,0.6108,medium,1
785,38,5694,5843,190.0,195.0,29,13.2824,0.433,0.5405,medium,1
785,39,5844,5993,195.0,200.0,30,16.3675,0.2766,0.4651,medium,1
785,40,5994,6142,200.0,205.0,27,18.6965,0.2881,0.3563,medium,1
785,41,6143,6292,205.0,210.0,27,17.6101,0.4295,0.4074,medium,1
785,42,6293,6442,210.0,215.0,22,19.5123,0.4353,0.265,low,0
785,43,6443,6592,215.0,220.0,18,20.0913,0.3309,0.149,low,0
785,44,6593,6742,220.0,225.0,14,11.5888,0.4288,0.3203,low,0
785,45,6743,6892,225.0,230.0,10,3.8285,0.6863,0.5349,medium,1
785,46,6893,7041,230.0,235.0,12,4.6329,0.623,0.5054,medium,1
785,47,7042,7191,235.0,240.0,17,7.4969,0.5389,0.4346,medium,1
785,48,7192,7341,240.0,245.0,22,13.8592,0.4002,0.3767,medium,1
785,49,7342,7491,245.0,250.0,26,13.7692,0.3479,0.4511,medium,1
785,50,7492,7641,250.0,255.0,32,15.8328,0.2991,0.5223,medium,1
785,51,7642,7791,255.0,260.0,36,14.3983,0.3441,0.6444,medium,1
785,52,7792,7941,260.0,265.0,30,9.8388,0.5711,0.6612,medium,1
785,53,7942,8090,265.0,270.0,33,10.4374,0.5772,0.712,high,2
785,54,8091,8240,270.0,275.0,28,7.8908,0.6497,0.6764,high,2
785,55,8241,8390,275.0,280.0,26,4.5283,0.652,0.7061,high,2
785,56,8391,8540,280.0,285.0,24,6.1198,0.6974,0.6403,medium,1
785,57,8541,8690,285.0,290.0,22,9.3342,0.4255,0.4769,medium,1
785,58,8691,8840,290.0,295.0,18,16.3386,0.3889,0.2395,low,0
